,Área,Vaga,Nível,Contrato,Salário Base,Salário Máximo
390,Back-end,Desenvolvedor(a) Back-end pleno Java,Junior - Pleno(2 a 4 anos de experiência),PJ," 7.000,00 "," 8.000,00"
391,Back-end,Desenvolvedor(a) Back-end Java pleno,Junior - Pleno(2 a 4 anos de experiência),,,
392,Back-end,Desenvolvedor(a) Java (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 9.400,00 "," 11.100,00"
393,Full-stack,Desenvolvedor(a) Full-stack Java,Junior(0 a 2 anos de experiência),CLT," 3.800,00 "," 4.900,00"
394,Back-end,Tech Lead Java (remoto),Senior(Mais de 6 anos de experiência),CLT," 13.000,00 "," 15.000,00"
395,Front-end,Desenvolvedor(a) Front-end pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 6.500,00 "," 8.500,00"
396,Front-end,Desenvolvedor(a) Front-end júnior (remoto),Junior(0 a 2 anos de experiência),PJ," 2.500,00 "," 4.500,00"
397,Full-stack,Desenvolvedor(a) Full-stack .NET Core Júnior (Remoto),Junior(0 a 2 anos de experiência),PJ," 3.000,00 "," 5.000,00"
398,Full-stack,Desenvolvedor(a) Full-stack .NET (Remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 9.000,00 "," 11.000,00"
399,Back-end,Desenvolvedor(a) Java sênior Back-end,Senior(Mais de 6 anos de experiência),CLT," 20.000,00 "," 20.000,00"
400,Data Science,Engenheiro(a) de Dados Python (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 4.000,00 "," 6.000,00"
401,Back-end,Tech Lead,Pleno - Senior(4 a 6 anos de experiência),,,
402,Full-stack,Desenvolvedor(a) Full-stack Java (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 11.200,00 "," 12.000,00"
403,Full-stack,Desenvolvedor(a) Java Full-stack (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 11.000,00 "," 12.000,00"
404,Front-end,Desenvolvedor(a) Front-end React (Remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 7.000,00 "," 9.000,00"
405,Full-stack,Desenvolvedor(a) Full-stack,Junior - Pleno(2 a 4 anos de experiência),,,
406,Full-stack,Desenvolvedor(a) PHP,Junior - Pleno(2 a 4 anos de experiência),,,
407,Full-stack,Desenvolvedor(a) Full-stack pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 5.332,00 "," 7.300,00"
408,Full-stack,Desenvolvedor(a) Full-stack,Pleno - Senior(4 a 6 anos de experiência),CLT," 9.000,00 "," 11.000,00"
409,Back-end,Desenvolvedor(a) Java,Junior - Pleno(2 a 4 anos de experiência),CLT," 10.400,00 "," 12.400,00"
410,Back-end,Desenvolvedor(a) pleno Java,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 6.000,00"
411,Front-end,Desenvolvedor(a) Front-end Angular 8 pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 8.000,00 "," 10.000,00"
412,Back-end,Desenvolvedor(a) Back-end pleno PHP (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 7.000,00 "," 9.000,00"
413,Mobile,Desenvolvedor(a) Flutter pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 8.100,00 "," 10.000,00"
414,Front-end,Desenvolvedor(a) Front-end sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 12.000,00 "," 14.000,00"
415,Full-stack,Desenvolvedor(a) Full-stack Java Sênior,Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 12.000,00"
416,Back-end,Desenvolvedor(a) Back-end,Pleno - Senior(4 a 6 anos de experiência),PJ," 16.000,00 "," 18.000,00"
417,Full-stack,Desenvolvedor(a) Full-stack Java pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 6.900,00 "," 8.000,00"
418,Back-end,Desenvolvedor(a) Back-end .NET Core (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
419,Full-stack,Desenvolvedor(a) Full-stack,Junior(0 a 2 anos de experiência),CLT," 3.000,00 "," 4.000,00"
420,Back-end,Desenvolvedor(a) Delphi Back-end,Pleno - Senior(4 a 6 anos de experiência),,,
421,Back-end,Desenvolvedor(a) Back-end .NET Core Pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 6.000,00 "," 8.000,00"
422,Back-end,Desenvolvedor(a) Back-end Node.js sênior,Senior(Mais de 6 anos de experiência),CLT," 11.000,00 "," 13.000,00"
423,Back-end,Desenvolvedor(a) Back-end Node.js pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
424,Data Science,Desenvolvedor ETL Pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 4.000,00 "," 6.000,00"
425,Front-end,Desenvolvedor(a) Front-end React Pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.300,00 "," 5.300,00"
426,Full-stack,Desenvolvedor(a) Full-stack,Junior - Pleno(2 a 4 anos de experiência),CLT," 6.000,00 "," 7.500,00"
427,Back-end,Desenvolvedor(a) Back-end pleno Java,Junior - Pleno(2 a 4 anos de experiência),PJ," 8.000,00 "," 10.000,00"
428,Full-stack,Desenvolvedor(a) Java,Junior - Pleno(2 a 4 anos de experiência),CLT," 8.000,00 "," 10.000,00"
429,Back-end,Desenvolvedor(a) Back-end Node.js (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 11.200,00 "," 13.000,00"
430,Full-stack,Desenvolvedor(a) Full-stack React (Remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 12.000,00"
431,Back-end,Desenvolvedor(a) pleno Back-end PHP,Junior - Pleno(2 a 4 anos de experiência),,,
432,Full-stack,Desenvolvedor(a) Full-stack pleno Java (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 6.000,00 "," 8.000,00"
433,Front-end,Desenvolvedor(a) Front-end C#,Junior(0 a 2 anos de experiência),,,
434,Data Science,Engenheiro(a) de Dados AWS,Junior - Pleno(2 a 4 anos de experiência),,,
435,Full-stack,Desenvolvedor(a) .NET sênior,Senior(Mais de 6 anos de experiência),CLT," 11.000,00 "," 11.040,00"
436,Front-end,Desenvolvedor(a) Front-end pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
437,Back-end,Desenvolvedor(a) Python pleno Back-end (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
438,Mobile,Desenvolvedor(a) Mobile Flutter pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 4.000,00 "," 6.000,00"
439,Back-end,Desenvolvedor(a) Back-end Java (remoto) sênior,Senior(Mais de 6 anos de experiência),PJ," 15.700,00 "," 17.700,00"
440,Back-end,Desenvolvedor(a) Back-end Node.js Sênior,Senior(Mais de 6 anos de experiência),CLT," 11.000,00 "," 13.000,00"
441,Front-end,Desenvolvedor(a) Front-end React Sênior,Senior(Mais de 6 anos de experiência),CLT," 11.000,00 "," 13.000,00"
442,Back-end,Desenvolvedor(a) Back-end Node.js Pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
443,Front-end,Desenvolvedor(a) Front-end React Pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
444,Mobile,Desenvolvedor(a) Mobile Java (Android) pleno,Junior - Pleno(2 a 4 anos de experiência),,,
445,Full-stack,Desenvolvedor(a) Full-stack Java (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 9.000,00 "," 10.000,00"
446,Back-end,Pessoa Engenheira Back-end (Remoto),Senior(Mais de 6 anos de experiência),,,
447,Mobile,Desenvolvedor(a) Kotlin pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 7.000,00"
448,Full-stack,Desenvolvedor(a) pleno Full-stack,Junior - Pleno(2 a 4 anos de experiência),,,
449,Back-end,Desenvolvedor(a) Back-end Java pleno,Junior - Pleno(2 a 4 anos de experiência),PJ," 6.000,00 "," 7.500,00"
450,Front-end,Desenvolvedor(a) Front-end JavaScript,Junior - Pleno(2 a 4 anos de experiência),,,
451,Back-end,Desenvolvedor(a) Back-end PHP pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 24.000,00 "," 26.000,00"
452,Full-stack,Tech Lead (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 18.000,00 "," 20.000,00"
453,Full-stack,Desenvolvedor Devops Cloud Pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 9.000,00 "," 10.000,00"
454,Full-stack,Desenvolvedor(a) Full-stack Java,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 6.500,00"
455,Full-stack,Full Stack Ruby Developer,Pleno - Senior(4 a 6 anos de experiência),PJ," 8.000,00 "," 10.000,00"
456,Full-stack,Desenvolvedor(a) Full-stack Python pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 6.000,00"
457,Back-end,Desenvolvedor(a) Back-end C# (Remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 4.000,00 "," 6.000,00"
458,Full-stack,Desenvolvedor(a) Full-stack .NET (remoto),Senior(Mais de 6 anos de experiência),,,
459,Back-end,Desenvolvedor(a) Back-end Python sênior (remoto),Senior(Mais de 6 anos de experiência),PJ," 11.800,00 "," 13.800,00"
460,Full-stack,Desenvolvedor(a) Java Sênior (Remoto),Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 10.300,00"
461,Back-end,Desenvolvedor(a) júnior Back-end .NET Core,Junior(0 a 2 anos de experiência),CLT," 3.500,00 "," 5.500,00"
462,Back-end,Desenvolvedor(a) C#,Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 12.000,00"
463,Back-end,Desenvolvedor(a) Back-end júnior,Junior(0 a 2 anos de experiência),CLT," 5.000,00 "," 6.500,00"
464,Full-stack,Desenvolvedor(a) Full-stack .NET (Remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 6.800,00 "," 8.800,00"
465,Front-end,Desenvolvedor(a) Front-end React Pleno (Remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 13.000,00 "," 15.000,00"
466,Back-end,Desenvolvedor(a) Back-end Java,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.500,00 "," 8.500,00"
467,Back-end,Desenvolvedor(a) Back-end pleno C#,Junior - Pleno(2 a 4 anos de experiência),,,
468,Front-end,Desenvolvedor(a) Front-end pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.900,00 "," 7.600,00"
469,Back-end,Desenvolvedor(a) Back-end pleno Node.js (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 13.000,00 "," 15.000,00"
470,Data Science,Engenheiro(a) de Dados AWS,Senior(Mais de 6 anos de experiência),,,
471,Front-end,Desenvolvedor(a) Front-end React Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 5.000,00 "," 7.000,00"
472,Back-end,Desenvolvedor(a) Back-end Node.js Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 5.000,00 "," 7.000,00"
473,Mobile,Desenvolvedor(a) Mobile Flutter Pleno,Junior - Pleno(2 a 4 anos de experiência),,,
474,Back-end,Desenvolvedor(a) Back-end Node.js sênior (remoto),Senior(Mais de 6 anos de experiência),,,
475,Full-stack,Desenvolvedor(a) Full-stack Node.js,Pleno - Senior(4 a 6 anos de experiência),CLT," 4.900,00 "," 6.500,00"
476,Back-end,Desenvolvedor(a) Back-end pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
477,Mobile,Analista de Q.A.,Junior(0 a 2 anos de experiência),CLT," 6.000,00 "," 8.000,00"
478,Back-end,Desenvolvedor(a) sênior .NET,Senior(Mais de 6 anos de experiência),PJ," 15.000,00 "," 17.000,00"
479,Back-end,Desenvolvedor(a) Back-end,Junior(0 a 2 anos de experiência),PJ," 3.000,00 "," 5.000,00"
480,Full-stack,Desenvolvedor(a) Full-stack Java pleno (remoto),Senior(Mais de 6 anos de experiência),PJ," 12.500,00 "," 13.500,00"
481,Data Science,Engenheiro(a) de Dados ETL,Pleno - Senior(4 a 6 anos de experiência),,,
482,Data Science,Assistente SQL Server,Junior(0 a 2 anos de experiência),,,
483,Front-end,Desenvolvedor(a) Front-end pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 5.500,00"
484,Full-stack,Desenvolvedor(a) Java sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
485,Full-stack,Desenvolvedor(a) pleno (remoto) Full-stack,Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 12.000,00"
486,Full-stack,Desenvolvedor(a) Full-stack React,Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 12.000,00"
487,Full-stack,Desenvolvedor(a) Full-stack .NET,Junior(0 a 2 anos de experiência),CLT," 3.500,00 "," 4.500,00"
488,Full-stack,Desenvolvedor(a) .NET,Junior - Pleno(2 a 4 anos de experiência),CLT," 6.000,00 "," 8.000,00"
489,Full-stack,Desenvolvedor(a) Full-stack C# pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 7.000,00 "," 9.000,00"
490,Full-stack,Desenvolvedor(a) Full-stack JavaScript (Remoto) 4-6,Pleno - Senior(4 a 6 anos de experiência),,,
491,Full-stack,Desenvolvedor(a) Full-stack Ruby on Rails Sênior (Remoto),Senior(Mais de 6 anos de experiência),,,
492,Back-end,Desenvolvedor(a) Back-end (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
493,Full-stack,Desenvolvedor(a) Full-stack Ruby on Rails,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.500,00 "," 8.500,00"
494,Front-end,Desenvolvedor(a) Front-end React Native (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 9.000,00 "," 11.000,00"
495,Front-end,Desenvolvedor(a) Front-end React Sênior (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 11.000,00 "," 12.000,00"
496,Front-end,Desenvolvedor(a) Front-end JavaScript Sênior (Remoto),Senior(Mais de 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
497,Front-end,Desenvolvedor(a) Front-end React,Junior - Pleno(2 a 4 anos de experiência),,,
498,Full-stack,Desenvolvedor(a) Full-stack Python,Junior - Pleno(2 a 4 anos de experiência),CLT," 2.900,00 "," 4.900,00"
499,Full-stack,Desenvolvedor(a) Full-stack JavaScript Sênior,Senior(Mais de 6 anos de experiência),,,
500,Back-end,Desenvolvedor(a) Back-end Python Pleno (Remoto),Pleno - Senior(4 a 6 anos de experiência),,,
501,Mobile,Desenvolvedor(a) Mobile Kotlin Sênior (Remoto),Senior(Mais de 6 anos de experiência),CLT," 11.000,00 "," 13.000,00"
